Raw,MovingAverage,Kalman
25.5163,25.5163,23.2175
24.823,25.1697,24.0242
24.291,24.8768,24.1246
25.837,25.1168,24.6768
24.1317,24.9198,24.5149
24.4436,24.7053,24.4946
24.5783,24.6563,24.5179
25.3177,24.8617,24.7371
24.3454,24.5634,24.6304
25.4486,24.8267,24.8524
24.7018,24.8784,24.8116
24.1959,24.8019,24.6451
25.5298,24.8443,24.8842
24.7966,24.9345,24.8605
24.881,24.821,24.8661
25.3287,24.9464,24.991
24.8204,25.0713,24.9449
25.737,25.1127,25.1589
25.0568,25.1648,25.1313
25.3202,25.2526,25.1824
24.6992,25.1267,25.0518
25.3937,25.2414,25.1442
24.377,24.9694,24.9369
24.7987,24.9178,24.8996
25.4911,24.952,25.0594
24.7436,24.9608,24.9741
24.8171,24.8455,24.9317
25.3279,25.0357,25.0387
24.4409,24.9641,24.8772
24.7748,24.8208,24.8495
24.6992,24.812,24.8089
24.0525,24.6591,24.6046
24.85,24.5635,24.6709
25.1009,24.6955,24.7871
24.5513,24.6508,24.7234
24.9963,24.7102,24.7971
24.7148,24.8427,24.7749
24.8841,24.8495,24.8044
24.0947,24.6482,24.6127
24.7787,24.6937,24.6575
24.4601,24.5865,24.6042
25.3427,24.7121,24.8037
24.6391,24.6631,24.7592
24.4792,24.74,24.6836
24.8863,24.7615,24.7384
24.5194,24.7733,24.6792
24.7194,24.6487,24.69
25.2906,24.779,24.8523
24.838,24.8507,24.8484
25.6344,25.0003,25.0608
24.8976,25.076,25.0167
24.4007,25.0122,24.8503
24.3202,24.8182,24.7071
25.5287,24.9563,24.929
25.8697,25.0034,25.1832
24.6868,24.9612,25.0491
24.6584,25.0127,24.9435
25.1648,25.1817,25.0033
25.5628,25.1885,25.1544
25.2401,25.0626,25.1776
24.7382,25.0728,25.0589
25.2652,25.1942,25.1146
25.4391,25.2491,25.2023
25.5234,25.2412,25.289
24.9605,25.1853,25.2003
24.6588,25.1694,25.054
24.3915,24.9947,24.875
25.5825,25.0234,25.0662
24.4852,24.8157,24.9092
24.8803,24.7997,24.9014
25.2067,24.9093,24.9839
24.8053,24.992,24.9357
24.8957,24.8547,24.9249
24.5263,24.8629,24.8172
25.3401,24.9548,24.9585
25.0114,24.9158,24.9728
24.8991,24.9345,24.9529
25.3819,25.0318,25.0688
25.7192,25.2703,25.2445
25.1297,25.2283,25.2135
26.0976,25.4455,25.4523
25.7046,25.6066,25.5205
24.853,25.5008,25.3402
25.9227,25.5415,25.4976
24.5,25.4156,25.2281
25.4521,25.2865,25.2886
25.24,25.1936,25.2754
24.8796,25.1989,25.1685
25.9685,25.208,25.3846
25.062,25.3204,25.2975
24.7381,25.1776,25.1464
24.744,25.0784,25.0376
25.1913,25.1408,25.0792
24.3161,24.8103,24.873
24.7453,24.747,24.8385
24.6851,24.7363,24.7971
23.9241,24.5724,24.5612
25.4268,24.6195,24.7951
24.6193,24.6801,24.7476
25.1994,24.7709,24.8696
25.2024,24.8744,24.9595
24.2556,24.9407,24.7694
25.0084,24.857,24.8339
25.2774,24.9886,24.9537
25.1672,24.9822,25.0114
24.8196,24.9056,24.9596
25.4227,25.139,25.0847
25.6,25.2574,25.2239
25.7021,25.3423,25.3531
24.9866,25.3062,25.2541
25.2444,25.3912,25.2515
25.519,25.4104,25.3238
24.9278,25.276,25.2168
24.9755,25.1307,25.1516
24.1333,24.96,24.8765
25.7608,25.0633,25.1154
24.434,24.8463,24.9313
25.8106,25.0228,25.1689
25.106,25.0489,25.1519
25.1572,25.2537,25.1533
24.9249,25.0865,25.0916
24.7498,25.1497,24.9992
25.7234,25.1322,25.1949
24.6211,25.0353,25.0399
24.7982,24.9635,24.9746
24.7866,24.9358,24.9238
24.4874,24.8833,24.8059
24.9373,24.7261,24.8414
24.3377,24.6694,24.7053
24.8937,24.6885,24.7562
23.9657,24.5243,24.5426
24.9405,24.615,24.6501
25.5024,24.728,24.8804
